LSOA,Predicted IMD Score
E01012334,6.7357197
E01012335,6.3507957
E01012366,10.386835
E01033481,9.880572
E01033482,5.361883
E01012323,17.134203
E01012324,12.849767
E01032545,20.326683
E01032546,10.382304
E01012328,24.31417
E01012329,6.334918
E01012330,4.6787605
E01012331,17.566092
E01012349,58.40326
E01012350,33.61174
E01012351,9.830976
E01012352,45.654266
E01012325,21.29091
E01012326,27.393887
E01012332,33.522076
E01012333,16.417807
E01012309,7.2949944
E01012310,20.520706
E01012311,22.304514
E01012312,57.46172
E01012313,31.051851
E01012314,41.166054
E01012362,34.529903
E01012363,18.17703
E01012364,19.01237
E01012365,10.597187
E01012353,30.71289
E01012354,50.508408
E01012355,36.55775
E01033483,70.349304
E01033484,36.821087
E01012307,28.275509
E01012327,57.223026
E01012342,35.330883
E01012343,21.245144
E01012315,5.8467627
E01012316,9.7079315
E01012360,9.118041
E01012336,2.1300027
E01012337,4.2712173
E01012347,5.3164806
E01012348,3.8458993
E01012361,3.101175
E01012304,63.69924
E01012305,32.205505
E01012306,29.856995
E01012340,25.901478
E01012341,53.490505
E01012317,17.834177
E01012318,40.93247
E01012319,26.966
E01012356,27.492752
E01012357,29.592453
E01012358,29.66346
E01012359,59.959904
E01012338,12.28396
E01012339,4.0230427
E01012344,9.816469
E01012345,12.390243
E01012346,5.41947
E01020613,4.593834
E01020614,19.699389
E01020622,10.196596
E01020623,8.23665
E01020606,40.970547
E01020615,37.599648
E01020616,28.2283
E01020617,18.297056
E01020596,32.638718
E01020597,9.991185
E01020598,10.493531
E01020611,6.437455
E01020612,6.3269587
E01020592,52.62549
E01020593,30.90438
E01020599,31.682003
E01020601,7.9655905
E01020602,46.666832
E01020618,33.298214
E01020594,13.675563
E01020595,11.070798
E01020600,5.851406
E01020603,4.4814796
E01020605,7.0715237
E01020590,17.005636
E01020591,26.446753
E01020608,17.633045
E01020609,17.694431
E01020610,8.541319
E01020604,22.392216
E01020607,27.633387
E01020619,17.360882
E01020620,24.693995
E01020621,30.144983
E01020634,7.8427086
E01020635,7.9533052
E01020636,23.984747
E01020654,14.512363
E01020676,16.06258
E01020627,10.581582
E01020628,5.704753
E01020629,14.870864
E01020655,8.541473
E01020656,20.374313
E01020657,11.221731
E01020661,32.197987
E01020662,29.190699
E01020663,18.828138
E01020674,36.35786
E01020678,21.662848
E01020626,43.720585
E01020638,23.286276
E01020639,45.85161
E01020653,28.373001
E01020677,32.318832
E01020647,43.312523
E01020648,40.25751
E01020649,35.80202
E01020673,46.165466
E01020675,38.85699
E01020624,38.29986
E01020625,24.699018
E01020670,28.89976
E01020671,43.640854
E01020672,38.267277
E01020632,18.019888
E01020640,18.150312
E01020641,25.507359
E01020642,14.349419
E01020643,27.63919
E01020667,30.486666
E01020650,17.798683
E01020651,19.578764
E01020652,27.560175
E01020668,29.168625
E01020669,26.154602
E01020630,16.571098
E01020631,29.688913
E01020637,12.146292
E01020644,23.094563
E01020645,32.492275
E01020633,26.215046
E01020664,6.994812
E01020665,16.973095
E01020666,5.561983
E01020646,20.173311
E01020658,30.16412
E01020659,11.5909605
E01020660,19.03003
E01020709,14.583201
E01020717,7.2237625
E01020718,8.027828
E01020719,4.17297
E01020721,4.1070404
E01020708,6.2005463
E01020710,10.896668
E01020711,29.574211
E01020720,13.318192
E01020679,29.930027
E01020680,8.133544
E01020681,22.892895
E01020714,9.665863
E01020716,40.790424
E01020725,12.071705
E01020726,15.113203
E01020727,41.984737
E01020729,24.784357
E01020730,24.189219
E01020731,13.818994
E01020682,3.7918413
E01020683,5.173874
E01020690,9.049715
E01020691,19.386305
E01020692,7.276907
E01020693,22.283888
E01020722,17.955122
E01020723,19.015615
E01020724,56.194088
E01020703,10.660697
E01033164,9.511331
E01033195,4.774929
E01033197,27.51601
E01033221,9.474515
E01020684,12.086219
E01020702,6.932949
E01020704,3.496309
E01020712,4.1255226
E01020713,2.977125
E01020705,38.96677
E01020706,20.44476
E01020715,27.588964
E01020685,14.0703535
E01020686,45.672874
E01020687,17.633385
E01020688,23.385544
E01020689,33.488796
E01020694,34.008614
E01020696,16.789927
E01020697,16.157104
E01020732,3.9254167
E01020695,20.75442
E01020698,10.050965
E01020699,38.79122
E01020700,33.986717
E01020701,13.925563
E01020750,12.631418
E01020781,30.072678
E01020786,10.992841
E01020787,38.763725
E01033163,5.1693554
E01033202,27.7501
E01020740,18.412611
E01020741,38.40087
E01020742,36.60472
E01020782,19.544395
E01020783,26.932722
E01020784,52.046436
E01020743,46.408833
E01020747,66.8021
E01020748,39.595726
E01020749,63.405144
E01020773,34.71643
E01020775,54.720596
E01020776,23.488163
E01033161,21.369726
E01033198,28.998682
E01033205,25.338398
E01033206,30.830116
E01020751,36.779217
E01020752,56.058987
E01020754,27.661587
E01020756,10.996185
E01020745,57.98891
E01020753,40.047096
E01020757,53.670834
E01020758,55.19184
E01020759,53.9742
E01020765,46.10146
E01020760,27.793518
E01020761,43.7803
E01020762,53.243034
E01020763,32.985855
E01020764,60.121777
E01020766,34.066216
E01020767,66.968285
E01020768,31.81731
E01020733,40.010876
E01020734,36.781242
E01020735,24.98853
E01020770,33.77968
E01020771,44.371925
E01020780,34.239628
E01020746,25.09247
E01020769,28.5897
E01020777,46.016457
E01020778,17.861418
E01020779,6.970808
E01020736,42.736233
E01020737,26.56043
E01020738,30.478077
E01020739,53.17298
E01020744,25.567072
E01020788,39.145588
E01020789,30.394854
E01020790,53.94904
E01020791,36.372066
E01020792,38.25945
E01020772,13.232958
E01020793,44.33841
E01020794,17.508942
E01020795,28.590393
E01020817,9.216293
E01020818,25.747974
E01020819,47.62219
E01020837,9.352469
E01020843,9.502088
E01020809,37.74712
E01020810,20.536825
E01020811,29.19236
E01020812,23.228027
E01020827,29.81075
E01020806,33.41664
E01020807,60.49128
E01020820,47.06354
E01020842,37.071377
E01020797,38.19362
E01020798,37.221684
E01020799,28.603884
E01020808,27.799217
E01020821,11.498663
E01020822,13.132592
E01020823,45.28158
E01020835,26.99626
E01020836,32.145557
E01020803,21.816456
E01020805,39.97345
E01033203,25.773582
E01020796,10.609767
E01020828,8.62335
E01020829,3.2145822
E01020830,13.476612
E01020801,24.383955
E01020802,37.01668
E01020838,35.651745
E01020839,42.946354
E01020840,37.70929
E01020841,64.0036
E01020813,6.1544714
E01020814,10.925192
E01020815,11.151446
E01020848,21.874441
E01020850,4.880703
E01020851,7.5478916
E01020816,38.481236
E01020844,38.82219
E01020847,49.01181
E01020849,42.61548
E01020825,23.606468
E01020831,28.137285
E01020833,18.899235
E01020834,36.57017
E01020824,25.293268
E01020826,20.767675
E01020832,24.052309
E01020845,37.914482
E01020846,18.571127
E01020856,31.727055
E01020858,19.732208
E01020859,13.063726
E01020860,38.528965
E01020861,27.13862
E01020862,11.228842
E01020864,12.497048
E01020867,11.239288
E01020857,9.006874
E01020863,16.236769
E01020865,15.1709175
E01020866,16.503244
E01020852,26.14566
E01020853,12.532542
E01020854,10.946553
E01020855,7.030773
E01020889,16.367313
E01020890,18.536331
E01020891,17.06177
E01020905,13.321365
E01020906,10.246133
E01020876,23.606356
E01020878,40.74068
E01020887,23.566881
E01020892,34.150852
E01020894,35.875835
E01020898,59.709076
E01020877,26.890347
E01020879,10.989324
E01020893,23.98806
E01020899,25.060179
E01020903,21.863506
E01020904,20.000837
E01020873,55.56022
E01020875,23.494349
E01020900,22.853846
E01020901,60.600483
